sender,receiver,sample,count,total_strength
B_Plasma,B_Plasma,HJX,84,0.519434010095
B_Plasma,B_Plasma,ZFL,74,0.2701544673527
B_Plasma,B_Plasma,ZLF,76,0.9371734095646
B_Plasma,Endothelial,HJX,74,1.37012949209
B_Plasma,Endothelial,ZFL,74,0.84702291675886
B_Plasma,Endothelial,ZLF,74,1.312736427645
B_Plasma,Epithelial,HJX,84,0.625617130468
B_Plasma,Epithelial,ZFL,81,0.25360766760633
B_Plasma,Epithelial,ZLF,77,0.6982548548572
B_Plasma,Fibroblasts,HJX,75,0.67864143886
B_Plasma,Fibroblasts,ZFL,75,0.3274026601488
B_Plasma,Fibroblasts,ZLF,69,0.6687385445897
B_Plasma,Mast,HJX,38,0.9952954501269999
B_Plasma,Mast,ZFL,52,0.4182488693
B_Plasma,Mast,ZLF,65,0.898226828369
B_Plasma,Myeloid,HJX,84,1.232148671759
B_Plasma,Myeloid,ZFL,80,0.6157684104758
B_Plasma,Myeloid,ZLF,77,1.254925294833
B_Plasma,NK,HJX,1,0.015747907
B_Plasma,NK,ZFL,20,0.9582878702
B_Plasma,NK,ZLF,69,0.884357872902
B_Plasma,T_cells,HJX,84,1.202668330348
B_Plasma,T_cells,ZFL,81,0.7635071806812
B_Plasma,T_cells,ZLF,77,1.55644265275
Endothelial,B_Plasma,HJX,77,0.80862598584
Endothelial,B_Plasma,ZFL,72,0.7563248947638
Endothelial,B_Plasma,ZLF,75,1.2921558501823
Endothelial,Endothelial,HJX,67,1.76308077542
Endothelial,Endothelial,ZFL,72,1.0691954991115
Endothelial,Endothelial,ZLF,72,1.61080699144
Endothelial,Epithelial,HJX,77,0.99191918791
Endothelial,Epithelial,ZFL,79,0.4152379776042
Endothelial,Epithelial,ZLF,76,1.053724152351
Endothelial,Fibroblasts,HJX,70,1.712556543118
Endothelial,Fibroblasts,ZFL,73,1.2641423225519999
Endothelial,Fibroblasts,ZLF,68,2.159234243678
Endothelial,Mast,HJX,34,1.2682093132
Endothelial,Mast,ZFL,51,0.720234603659
Endothelial,Mast,ZLF,65,1.274881044755
Endothelial,Myeloid,HJX,77,1.92471428747
Endothelial,Myeloid,ZFL,78,1.0650447517469
Endothelial,Myeloid,ZLF,76,1.723867369659
Endothelial,NK,HJX,1,0.06017913
Endothelial,NK,ZFL,20,1.96128675104
Endothelial,NK,ZLF,67,1.278951469804
Endothelial,T_cells,HJX,77,2.051292931204
Endothelial,T_cells,ZFL,79,1.9019763482276
Endothelial,T_cells,ZLF,76,2.17867554229
Epithelial,B_Plasma,HJX,83,0.636015016849
Epithelial,B_Plasma,ZFL,77,0.32120789845659997
Epithelial,B_Plasma,ZLF,84,0.9928733666026001
Epithelial,Endothelial,HJX,73,1.40688644373
Epithelial,Endothelial,ZFL,77,0.98791018078705
Epithelial,Endothelial,ZLF,81,1.5386648542778
Epithelial,Epithelial,HJX,83,0.782374787945
Epithelial,Epithelial,ZFL,84,0.31673521190205
Epithelial,Epithelial,ZLF,85,0.9697504607964
Epithelial,Fibroblasts,HJX,75,0.749860644446
Epithelial,Fibroblasts,ZFL,78,0.4116870505579
Epithelial,Fibroblasts,ZLF,76,0.8210277535578
Epithelial,Mast,HJX,38,1.4029760787
Epithelial,Mast,ZFL,54,0.616226428409
Epithelial,Mast,ZLF,71,1.256827766821
Epithelial,Myeloid,HJX,83,1.37221122153
Epithelial,Myeloid,ZFL,83,0.719235497055
Epithelial,Myeloid,ZLF,85,1.484110122706
Epithelial,NK,HJX,1,0.010524642
Epithelial,NK,ZFL,21,0.97201028507
Epithelial,NK,ZLF,76,0.9865777480522
Epithelial,T_cells,HJX,83,1.610558655099
Epithelial,T_cells,ZFL,84,0.8791295572460001
Epithelial,T_cells,ZLF,85,1.763347827466
Fibroblasts,B_Plasma,HJX,75,0.70155188641
Fibroblasts,B_Plasma,ZFL,74,0.7578676048091
Fibroblasts,B_Plasma,ZLF,76,1.299920830933
Fibroblasts,Endothelial,HJX,66,1.899271889359
Fibroblasts,Endothelial,ZFL,74,1.3040503836325
Fibroblasts,Endothelial,ZLF,73,1.603183450553
Fibroblasts,Epithelial,HJX,75,0.969686875641
Fibroblasts,Epithelial,ZFL,81,0.3733620596992
Fibroblasts,Epithelial,ZLF,77,0.8395724957883
Fibroblasts,Fibroblasts,HJX,68,0.952527472384
Fibroblasts,Fibroblasts,ZFL,75,0.5304818400882
Fibroblasts,Fibroblasts,ZLF,68,0.8923449337928
Fibroblasts,Mast,HJX,33,1.1448042355
Fibroblasts,Mast,ZFL,52,0.593258210754
Fibroblasts,Mast,ZLF,65,1.035255484725
Fibroblasts,Myeloid,HJX,75,1.803950737821
Fibroblasts,Myeloid,ZFL,80,0.9728149579674
Fibroblasts,Myeloid,ZLF,77,1.499100192088
Fibroblasts,NK,HJX,1,0.06274082
Fibroblasts,NK,ZFL,20,1.3861170855
Fibroblasts,NK,ZLF,68,1.054625975723
Fibroblasts,T_cells,HJX,75,1.7968197041060001
Fibroblasts,T_cells,ZFL,81,1.6444041688255
Fibroblasts,T_cells,ZLF,77,1.8531663000615999
Mast,B_Plasma,HJX,43,0.55931322354
Mast,B_Plasma,ZFL,57,0.4305710885025
Mast,B_Plasma,ZLF,61,1.128030256092
Mast,Endothelial,HJX,37,1.3999719777500002
Mast,Endothelial,ZFL,56,1.482432678731
Mast,Endothelial,ZLF,59,1.762323077514
Mast,Epithelial,HJX,43,0.719042742882
Mast,Epithelial,ZFL,60,0.4056223804401
Mast,Epithelial,ZLF,62,0.9756601575823
Mast,Fibroblasts,HJX,42,0.7094093251
Mast,Fibroblasts,ZFL,57,0.525775822542
Mast,Fibroblasts,ZLF,56,0.885244414996
Mast,Mast,HJX,21,1.0031338049
Mast,Mast,ZFL,39,0.95728895065
Mast,Mast,ZLF,53,1.23735237829
Mast,Myeloid,HJX,43,1.89089197691
Mast,Myeloid,ZFL,60,1.4829506434175
Mast,Myeloid,ZLF,62,2.018987247838
Mast,NK,ZFL,18,1.7614367484
Mast,NK,ZLF,55,1.08349469319
Mast,T_cells,HJX,43,1.22061394595
Mast,T_cells,ZFL,60,1.137970692854
Mast,T_cells,ZLF,62,1.787443015543
Myeloid,B_Plasma,HJX,82,1.113777789216
Myeloid,B_Plasma,ZFL,72,0.6425781062236
Myeloid,B_Plasma,ZLF,81,1.70477700245308
Myeloid,Endothelial,HJX,72,2.3533467851075
Myeloid,Endothelial,ZFL,72,1.6639301642047999
Myeloid,Endothelial,ZLF,78,2.156525141042
Myeloid,Epithelial,HJX,82,1.351809878975
Myeloid,Epithelial,ZFL,79,0.58017373971314
Myeloid,Epithelial,ZLF,82,1.2271982593645
Myeloid,Fibroblasts,HJX,73,1.4685908293
Myeloid,Fibroblasts,ZFL,73,1.0904082297621
Myeloid,Fibroblasts,ZLF,73,1.5777422639792
Myeloid,Mast,HJX,36,1.7101582525399999
Myeloid,Mast,ZFL,50,1.02544519088
Myeloid,Mast,ZLF,69,1.747933482706
Myeloid,Myeloid,HJX,82,2.9582360259450002
Myeloid,Myeloid,ZFL,78,1.7249245500544
Myeloid,Myeloid,ZLF,82,2.5318229724608
Myeloid,NK,HJX,1,0.041593563
Myeloid,NK,ZFL,21,2.4779716515
Myeloid,NK,ZLF,73,1.8551019647427
Myeloid,T_cells,HJX,82,3.359365071763
Myeloid,T_cells,ZFL,79,1.9756780489129
Myeloid,T_cells,ZLF,82,3.3082041883833
NK,B_Plasma,HJX,4,0.482593389
NK,B_Plasma,ZFL,24,0.85560418889
NK,B_Plasma,ZLF,69,1.654130906133
NK,Endothelial,HJX,4,3.47938874
NK,Endothelial,ZFL,21,2.5391297224
NK,Endothelial,ZLF,67,2.08176472619
NK,Epithelial,HJX,4,1.028678314
NK,Epithelial,ZFL,26,0.61438688414
NK,Epithelial,ZLF,70,1.1327342853635
NK,Fibroblasts,HJX,4,0.60850159
NK,Fibroblasts,ZFL,24,1.22281224191
NK,Fibroblasts,ZLF,63,1.1271413896190001
NK,Mast,ZFL,14,0.9681116853
NK,Mast,ZLF,60,1.458496948041
NK,Myeloid,HJX,4,2.6917759240000003
NK,Myeloid,ZFL,26,1.86361129585
NK,Myeloid,ZLF,70,2.21240470349
NK,NK,ZFL,11,3.69929044
NK,NK,ZLF,62,1.50164342599
NK,T_cells,HJX,4,0.369441588
NK,T_cells,ZFL,26,2.1172659925
NK,T_cells,ZLF,70,2.3754539795556
T_cells,B_Plasma,HJX,83,0.75011181777
T_cells,B_Plasma,ZFL,76,0.552775126416
T_cells,B_Plasma,ZLF,82,1.4858037478973
T_cells,Endothelial,HJX,73,1.696840733216
T_cells,Endothelial,ZFL,76,1.46830823328308
T_cells,Endothelial,ZLF,80,1.7140215345954
T_cells,Epithelial,HJX,83,0.843454318294
T_cells,Epithelial,ZFL,83,0.5362172504663
T_cells,Epithelial,ZLF,83,0.994171991048
T_cells,Fibroblasts,HJX,74,0.87817762426
T_cells,Fibroblasts,ZFL,77,0.73244073805262
T_cells,Fibroblasts,ZLF,75,1.041174010868
T_cells,Mast,HJX,37,1.2049544953
T_cells,Mast,ZFL,53,0.732140516592
T_cells,Mast,ZLF,70,1.277657651416
T_cells,Myeloid,HJX,83,1.9713672800645
T_cells,Myeloid,ZFL,82,1.53090233797888
T_cells,Myeloid,ZLF,83,2.0881190297764
T_cells,NK,HJX,1,0.15751737
T_cells,NK,ZFL,21,2.19300190677
T_cells,NK,ZLF,75,1.296775908651
T_cells,T_cells,HJX,83,1.792388491235
T_cells,T_cells,ZFL,83,1.5230189812766
T_cells,T_cells,ZLF,83,2.1849298905825
